Lexeme	WC	Flexion
uissuummissutig¦aa	V	–inngilaa
uissuummi¦voq	V	–nngilaq
uisu¦k	N	–up, –it
uisul¦ik	N	{–iup, –lip, –lup}, –lit
uitaa¦rpoq	V	–nngilaq
uitsaarilluinna¦rpoq	V	–nngilaq
uitsaari¦ppoq	V	–nngilaq
uitsaarissi¦voq	V	–nngilaq
uitsanne¦q	N	–rup, –rit
uitsa¦ppaa	V	–nngilaa
uitsas¦erpoq	V	–inngilaq
uitsa¦serpoq	V	{–sinngilaq, –tilinngilaq}
uitsataa¦voq	V	–nngilaq
uitsatig¦aa	V	–inngilaa
uitsatigisa¦q	N	–p, –t
uitsaviunngilaq	V	(no generation)
uitsaviunngivippoq	V	(no generation)
uiu	N	–p, –t
uiukumi¦aq	N	–up, –it
uiune¦q	N	–rup, –rit
uiuneqanngilaq	V	(no generation)
uiunn¦erpaa	V	–inngilaa
uiusa¦q	N	–p, –t
uius¦oq	N	–up, –ut
uiuus¦erpaa	V	–inngilaa
uiuu¦serpaa	V	{–linngilaa, –sinngilaa, –tilinngilaa, –taasinngilaa, –taatilinngilaa}
uiuu¦serpaa	V	{–sinngilaa, –tilinngilaa}
uiuu¦sersorpaa	V	{–lersunngilaa, –sersunngilaa, –tilersunngilaa, –taasersunngilaa, –taatilersunngilaa}
uiuu¦sersorpaa	V	{–sersunngilaa, –tilersunngilaa}
uiuut	N	–ip, –it
uiuu¦t	N	{–p, –tip, –taatip}, {–it, –tit, –taatit}
uiuutaa¦voq	V	–nngilaq
uiuu¦taavoq	V	{–nngilaq, –taanngilaq, –taataanngilaq}
uiverne¦q	N	–rup, –rit
uiv¦erpoq	V	–inngilaq
uivi¦ppoq	V	–nngilaq
ujaa¦ppaa	V	–tinngilaa
ujaa¦q	N	–p, –t
ujaar¦aa	V	–inngilaa
ujaareqqissaa¦rpaa	V	–nngilaa
ujaarillua¦rpaa	V	–nngilaa
ujaari¦ppoq	V	–nngilaq
ujaaseqqissaarne¦q	N	–rup, –rit
ujaasiffigeqqissaa¦rpaa	V	–nngilaa
ujaasiffi¦k	N	–up, –it
ujaasiffissiat	N, pl.	-
ujaasine¦q	N	–rup, –rit
ujaasi¦voq	V	–nngilaq
ujagaa¦voq	V	–nngilaq
uja¦gaq	N	–kkap, –kkat
ujagassartallit	N, pl.	-
ujajaaffig¦aa	V	–inngilaa
ujajaa¦gaq	N	–kkap, –kkat
ujajaane¦q	N	–rup, –rit
ujajaaniat	N, pl.	-
ujajaa¦rpaa	V	–nngilaa
ujajaarsu¦ppoq	V	–nngilaq
ujajaarsuutig¦aa	V	–inngilaa
ujajaas¦oq	N	–up, –ut
ujajaa¦voq	V	–nngilaq
ujajagaa¦voq	V	–nngilaq
ujaja¦gaq	N	–kkap, –kkat
ujaja¦rpaa	V	–nngilaa
ujakkaa¦ppoq	V	–tinngilaq
ujakkaarfi¦k	N	–up, –it
ujakkaarne¦q	N	–rup, –rit
ujakkaa¦rpoq	V	–nngilaq
ujakkaartart¦oq	N	–up, –ut
ujakka¦rpaa	V	–nngilaa
ujakka¦rpoq	V	–nngilaq
ujakkart¦erpaa	V	–inngilaa
ujakkart¦erpoq	V	–inngilaq
ujakkaru¦ppoq	V	–tinngilaq
ujakkataa¦rpoq	V	–nngilaq
ujalerine¦q	N	–rup, –rit
ujaleri¦voq	V	–nngilaq
ujallerine¦q	N	–rup, –rit
ujallerisaanna¦rpoq	V	–nngilaq
ujalleri¦voq	V	–nngilaq
ujall¦erpaa	V	–inngilaa
ujallisaanna¦rpoq	V	–nngilaq
ujalli¦voq	V	–nngilaq
ujal¦oq	N	–lup, –lut
ujaloqanngilaq	V	(no generation)
ujaloqa¦rpoq	V	–nngilaq
ujalori¦ppoq	V	–nngilaq
ujalu	N	–p, –t
ujalueru¦ppoq	V	–tinngilaq
ujalugi¦ppoq	V	–nngilaq
ujalugissi¦voq	V	–nngilaq
ujalussa¦q	N	–p, –t
ujalussia¦q	N	–p, –t
